[261] score=0 rationale="vague complexity/overlapping arrangement, no colour constraint"
[262] score=0 rationale="stacked on upright/lying cone, missing different-colour requirement"
[263] score=0 rationale="seven cones red or green count rule, wrong feature"
[264] score=0 rationale="complex interlocking/nested, no different-colour constraint"
[265] score=0 rationale="gap from left border, wrong feature"
[266] score=0 rationale="different orientations rule, wrong feature"
[279] score=0 rationale="exactly seven cones rule, wrong feature"
[280] score=0 rationale="contains lying cone, missing stacking-pair and colour constraint"
[286] score=0 rationale="size wave pattern, wrong feature"
[287] score=0 rationale="central largest green cone, wrong feature"
[288] score=0 rationale="tightly and loosely structures, incoherent"
[289] score=0 rationale="specific size sequence, wrong feature"
[301] score=0 rationale="mutual support pair, missing colour constraint"
[302] score=0 rationale="first two cones leaning, missing colour constraint"
[303] score=0 rationale="prime number of contacts, wrong feature"
[304] score=0 rationale="mutual support pair, missing colour constraint"
[305] score=0 rationale="mutual support pair, missing colour constraint"
[306] score=0 rationale="mutual resting-on-lying pair, missing colour constraint"
[307] score=0 rationale="all cones in continuous stacking chain, missing colour and overspecified"
[320] score=0 rationale="mutual support chain, missing colour constraint"
[321] score=0 rationale="single path no overlaps, wrong relation"
[322] score=0 rationale="seven cones continuous support chain, wrong feature"
[323] score=0 rationale="exactly two non-upright/upside-down cones, wrong feature"
[373] score=0 rationale="chain of cones each supporting next, missing colour constraint"
[374] score=0 rationale="interconnected pairs/clusters, missing colour constraint"
[375] score=0 rationale="exactly four cones on floor, wrong feature"
[376] score=0 rationale="vague complex/intricate arrangement, missing features"
[377] score=0 rationale="at least one stacked cone, missing different-colour constraint"
[378] score=0 rationale="vague complex/interconnected, missing colour constraint"
[379] score=0 rationale="single connected chain, missing colour constraint"
[380] score=0 rationale="vague nested interconnected, missing colour constraint"
[381] score=0 rationale="two or more stacked pairs, missing colour and overspecified count"
[382] score=0 rationale="chain-like structure of support, missing colour constraint"
[383] score=0 rationale="linked chain of pairs, missing colour constraint"
[384] score=0 rationale="vague complex interconnected, missing colour constraint"
[385] score=0 rationale="vague complex 3D interlocking, missing colour constraint"
[386] score=0 rationale="vague greater interaction, missing colour constraint"
[387] score=0 rationale="exactly two lying cones, wrong feature"
[388] score=0 rationale="continuous chain leaning, missing colour constraint"
[389] score=0 rationale="at least two stacked cones, missing colour constraint"
[390] score=0 rationale="vertical tower of nested cones, missing colour and overspecified"
[391] score=0 rationale="vague intricate interconnected, missing colour constraint"
[392] score=0 rationale="specific colour count distribution, wrong feature"
[457] score=0 rationale="two cones in opposite corners overlapping, wrong feature"
[458] score=0 rationale="mutual supporting cone cycle, missing colour constraint"
[459] score=0 rationale="linear chain of resting cones, missing colour constraint"
[460] score=0 rationale="every cone part of mutual support, missing colour constraint"
[461] score=0 rationale="single connected structure, missing colour constraint"
[462] score=0 rationale="exactly two tilted cones, wrong feature"
[463] score=0 rationale="connected pair/cluster, missing colour constraint"
[464] score=0 rationale="exactly two tilted cones, wrong feature"
[465] score=0 rationale="long mutual support chain, missing colour constraint"
[466] score=0 rationale="five distinct color blocks, wrong feature"
[467] score=0 rationale="vague interconnected mutual dependencies, missing colour constraint"
[468] score=0 rationale="mutual support cycle, missing colour constraint"
[469] score=0 rationale="at least one cone stacked on another, missing different-colour constraint"
[470] score=0 rationale="closed loop of mutual support, missing colour constraint"
[471] score=0 rationale="linear chain of support, missing colour constraint"
[472] score=0 rationale="vague complex interconnected, missing colour constraint"
[473] score=0 rationale="mutual support nested loop, missing colour constraint"
[474] score=0 rationale="balanced colour counts, wrong feature"
[475] score=0 rationale="mutual supporting pair, missing colour constraint"
[476] score=0 rationale="nested chain-like stacking, missing colour constraint"
[477] score=0 rationale="exactly two lying cones, wrong feature"
[478] score=0 rationale="at least one lying cone, wrong feature"
[479] score=0 rationale="mutual support cycle, missing colour constraint"
[480] score=0 rationale="vertical stack plus horizontal pair, missing colour and overspecified"
[481] score=0 rationale="odd number of color changes, wrong feature"
[482] score=0 rationale="chain of supporting cones, missing colour constraint"
[483] score=0 rationale="triangular arrangement of cones, wrong feature"
[484] score=0 rationale="two non-upright cones mutually supporting, missing colour constraint"
[485] score=0 rationale="at least one cone stacked on another, missing different-colour constraint"
[486] score=0 rationale="stacked cone resting on floor, missing different-colour constraint"
